Spermophilus richardsonii
Cynomys ludovicianus
Smithopsis crassicaudata
Manouria emys
Choriotis kori
Galago crassicaudataus
Lophoaetus occipitalis
abcdefghi
Sciurus niger
Zenaida asiatica
Pseudalopex gymnocercus
Ceryle rudis
Varanus sp.
Otocyon megalotis
Bassariscus astutus
Herpestes javanicus
Sarkidornis melanotos
Hymenolaimus malacorhynchus
Ramphastos tucanus
unavailable
Anthropoides paradisea
Otaria flavescens
Felis wiedi or Leopardus weidi
Halcyon smyrnesis
Hystrix cristata
Cercatetus concinnus
Meleagris gallopavo
Uraeginthus bengalus
Hippotragus equinus
Hippotragus equinus
Tragelaphus scriptus
Canis aureus
